dTime,temperature,light_intensity,wind_speed,humidity
20210523-08:00,22.78,512304.11,2.422663823,71.3
20210523-09:00,22.7,362140.1,1.741321337,73.27
20210523-10:00,21.67,325269.73,1.234382437,75.77
20210523-11:00,20.74,89150.96,1.365650028,80.21
20210523-12:00,21.22,114.15,1.597779709,79.34
20210523-13:00,20.99,0,1.666883319,79.6
20210523-14:00,19.73,0,1.490301983,84.33
20210523-15:00,18.62,0,1.593643624,88.85
20210523-16:00,18.89,0,1.803607496,86.91
20210523-17:00,18.68,0,1.390863041,86.71
20210523-18:00,18.52,0,1.187013058,88.46
20210523-19:00,18.31,0,1.274754878,89.59
20210523-20:00,16.9,0,1.590282994,94.5
20210523-21:00,17.12,0,1.159655121,95.32
20210523-22:00,20.99,58045.15,1.7,79.01
20210523-23:00,21.17,470981.9,1.323064624,77.46
20210524-00:00,21.56,1145676.65,1.531012737,74.35
20210524-01:00,21.56,1746733.19,2.44517893,75.18
20210524-02:00,25.95,2263277.75,2.795800422,58.76
20210524-03:00,26.06,2650800.29,2.948982876,58.6
20210524-04:00,26.33,2863991.9,3.036593486,55.48
20210524-05:00,28.6,2896233.14,3.140859755,42.85
20210524-06:00,28.63,2730518.89,3.309259736,41.77
20210524-07:00,28.47,2115709.89,3.571134274,41.92
20210524-08:00,28.26,1568293.64,3.811823711,42.47
20210524-09:00,28.15,1153779.76,3.567239829,44.37
20210524-10:00,24.15,644995.92,3.592005011,56.99
20210524-11:00,24.27,168966.91,3.500357125,57.08
20210524-12:00,24.01,399.45,3.866264347,59.23
20210524-13:00,23.71,0,4.299034775,60.43
20210524-14:00,22.33,0,4.454682929,67.09
20210524-15:00,21.59,0,4.610683247,68.44
20210524-16:00,21.36,0,4.67754209,69.69
20210524-17:00,20.03,0,4.935139309,71.55
20210524-18:00,20.4,0,5.126099882,71.05
20210524-19:00,21.19,0,4.517986277,68.83
20210524-20:00,19.58,0,3.708827308,70.2
20210524-21:00,19.39,0,2.653243298,72
20210524-22:00,22.77,88506.47,2.142171795,61.34
20210524-23:00,22.7,483390.29,2.413068586,61.58
20210525-00:00,23.01,1097913.97,2.292116925,55.5
20210525-01:00,23.23,1819672.48,2.789193432,50.57
20210525-02:00,27.04,2369390.45,2.852718002,33.41
20210525-03:00,26.99,2762907.8,2.610076627,33.25
20210525-04:00,27.15,2977225.66,2.71543735,32.92
20210525-05:00,28.03,2970123.07,2.904771936,32.23
20210525-06:00,28.24,2606707.18,3.093622472,31.01
20210525-07:00,27.63,1698759.33,3.105221409,35.55
20210525-08:00,25.97,1051803.5,2.270792813,47.96
20210525-09:00,26.1,149041.67,1.711052308,48.47
20210525-10:00,22.41,132468.95,2.062862089,57.83
20210525-11:00,22.76,57046.21,2.794351445,58.32
20210525-12:00,23.01,169.11,2.894149271,59.33
20210525-13:00,23.25,0,3.475068345,59.37
20210525-14:00,22.65,0,4.161249812,64.12
20210525-15:00,21.96,0,3.747025487,65.51
20210525-16:00,21.72,0,3.140143309,65.84
20210525-17:00,20.63,0,2.754087871,72.09
20210525-18:00,20.25,0,2.695644635,74.13
20210525-19:00,20,0,3.890822535,75.67
20210525-20:00,18.46,0,4.633119899,87.43
20210525-21:00,18.33,0,4.411303662,91.44
20210525-22:00,18.14,17700.11,3.820994635,88.66
20210525-23:00,17.98,83709.11,3.689132689,89.58
20210526-00:00,17.71,163203.79,3.104094071,91.93
20210526-01:00,17.42,251069.79,2.537124356,93.14
20210526-02:00,17.43,49494.85,2.278815482,95.58
20210526-03:00,17.55,287755.53,2.663174797,93.45
20210526-04:00,17.54,491690.04,3.15762569,94.15
20210526-05:00,18.67,777479.26,3.102660149,91.86
20210526-06:00,20.56,1591307.17,4.37675679,84.42
20210526-07:00,21.03,1186865.15,5.068224541,81.93
20210526-08:00,21.58,954559.58,5.442655602,80.14
20210526-09:00,21.5,497869.87,4.950070707,79.73
20210526-10:00,20.31,453936.87,3.902947604,85.1
20210526-11:00,19.72,142079.99,1.776119365,87.77
20210526-12:00,19.42,561.8,2.144434657,91.19
20210526-13:00,18.56,0,2.14683488,95.14
20210526-14:00,18.59,0,1.888306119,97.12
20210526-15:00,18.95,0,2.626194966,95.33
20210526-16:00,19.18,0,2.701499584,93.48
20210526-17:00,18.66,0,2.876473535,93.02
20210526-18:00,18.86,0,3.0740527,91.42
20210526-19:00,18.62,0,2.886884133,91.99
20210526-20:00,17.53,0,2.510657284,95.1
20210526-21:00,17.27,0,2.207374005,96.4
20210526-22:00,20.97,110506.66,2.469757073,86.32
20210526-23:00,21.11,556409.75,2.180481598,85.43
20210527-00:00,21.18,1151707.85,2.098594768,86.77
20210527-01:00,21.49,1757563.01,2.127580786,85.37
20210527-02:00,26.8,2282867.68,2.659661633,65.2
20210527-03:00,26.97,2662638.05,3.409296115,64.81
20210527-04:00,27.24,2802794.77,4.068709869,62.57
20210527-05:00,29.25,2649279.01,4.868069433,51.84
20210527-06:00,29.34,2373437.45,5.322405471,51.24
20210527-07:00,29.17,1902021.8,5.558246126,52.3
20210527-08:00,28.33,1249070.35,5.088270826,58.57
20210527-09:00,28.24,829166.25,4.812525325,58.27
20210527-10:00,25.34,422224.95,3.485541565,70.49
20210527-11:00,25.13,108796.94,3.49859972,72.22
20210527-12:00,24.93,792.49,4.066693989,74.14
20210527-13:00,25.01,0,4.876494643,75.03
20210527-14:00,24.15,0,5.305431179,79.28
20210527-15:00,23.41,0,5.516493451,79.27
20210527-16:00,23.61,0,5.857729936,73.26
20210527-17:00,22.67,0,6.346904757,70.73
20210527-18:00,22.68,0,6.441746658,69.31
20210527-19:00,22.64,0,6.25703604,73.07
20210527-20:00,21.68,0,5.303055723,78.46
20210527-21:00,21.76,0,5.050792017,80.75
20210527-22:00,24.35,101381.54,4.190107397,66.14
20210527-23:00,24.53,533908.8,4.126172561,66.92
20210528-00:00,25.05,1122681.57,4.328244448,60.38
20210528-01:00,25.65,1759813.61,4.695742753,47.46
20210528-02:00,28.46,2325170.78,5.17849399,24.03
20210528-03:00,28.24,2739581.12,5.08495821,24.22
20210528-04:00,28.11,2975247.74,4.752315225,26.08
20210528-05:00,29.05,3018763.42,4.27948595,23.87
20210528-06:00,29.01,2816557.07,3.96233517,24.96
20210528-07:00,29,2470974.33,3.718776681,26.56
20210528-08:00,28.59,1961384.28,3.323853186,29.75
20210528-09:00,28.46,1351817.94,2.018539076,33.44
20210528-10:00,23.32,715148.22,1.631103921,55.33
20210528-11:00,21.85,193191.15,2.741477704,57.27
20210528-12:00,21.73,1098.01,2.37303603,59.78
20210528-13:00,23.51,0,1.46,53.39
20210528-14:00,21.41,0,0.919238816,63.89
20210528-15:00,19.74,0,2.322606295,74.06
20210528-16:00,18.33,0,2.126029163,86.65
20210528-17:00,18.2,0,2.457335956,83.91
20210528-18:00,18.22,0,2.51753848,78.65
20210528-19:00,18.45,0,2.811351988,73.26
20210528-20:00,17.66,0,3.000416638,74.18
20210528-21:00,17.28,0,3.113534968,71.81
20210528-22:00,22.79,120665.01,3.261564042,74.87
20210528-23:00,23.23,540045.26,2.981358751,74.71
